NAME_SHORT;DE;DE;DE;DE;DE;DE;DE;DE
Quantile;q100;q97;q95;q90;q75;q67;q50;q30
0;0.1511125063448734;0.11957873742980576;0.04868771871960357;0.09285869110848799;0.1364955305428802;0.018497341536839643;0.0;0.0
1;0.16741241619412953;0.12268154020939265;0.04523264851993882;0.12500245311822714;0.14006680655203768;0.021333144928664234;0.0;0.0
2;0.19171850700456947;0.1359717023430195;0.047399366661926935;0.16251811848118042;0.15067421985428414;0.02567125039740173;0.0;0.0
3;0.21162022697327576;0.1568713791526009;0.050832144472435385;0.19091942868001527;0.16493693616560212;0.021555412095125827;0.0;0.0
4;0.2523024374378596;0.18693502662922812;0.04682534222957092;0.190178100749294;0.17918415921007186;0.01522644928273522;0.0;0.0
5;0.2943112313555435;0.2415775859172469;0.030629906101416096;0.15659223109601025;0.20882984067808633;0.010615783632223087;0.0;0.0
6;0.28916766789493376;0.2874640900640405;0.015327172454713163;0.13636012516386897;0.22967355502261874;0.010390173519495529;1.6794934688795643e-05;0.0
7;0.29144471145921474;0.2641387457159892;0.003068466583666614;0.13140356336737966;0.24145875858218271;0.03385638922607239;0.010489610454705041;0.0
8;0.3091072281616033;0.2693275595496795;0.0;0.10534962440183454;0.24507847841891753;0.059694516735937404;0.017321140701394483;0.0
9;0.3617334485496166;0.30450034196856457;0.0006843584160081996;0.03763394064760636;0.35694190581356305;0.04554297368485461;0.009519193015317014;0.0
10;0.3705851337405704;0.2726793674829778;0.001741608971183587;0.006386455697391193;0.306932769709719;0.0351613259685109;0.0;0.0
11;0.38495639594541564;0.2654239177363883;0.0027727843062569195;0.0068237522742166;0.25443855165670526;0.06826643499049306;0.0;0.0
12;0.4540621468699754;0.36760413353417043;0.0;0.024908464856476756;0.2720480451243245;0.1376805395897585;0.0033506075291380097;0.0
13;0.5332211185157317;0.43287663749879507;0.0023258404353533393;0.033164662451049966;0.33577357846770184;0.1367122848523571;0.019035470039475463;0.0
14;0.670722850197457;0.4752464211325977;0.014022851364409637;0.0;0.4020319996884171;0.1518890687997996;0.0;0.02355909164171182
