;AT;BE;BG;CH;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;NL;NO;PL;PT;RO;SE;SI;SK;UK
100;**;**;**;**;**;**;**;**;0.149081564687;**;0.0;**;**;**;0.216741944684;**;**;**;**;**;0.151367513985;**;**;**;0.446278624003;**;**;**
97;**;**;**;**;**;**;**;**;0.148723116856;**;0.0211240262976;**;**;**;0.177087846736;**;**;**;**;**;0.162207503746;**;**;**;0.293585141254;**;**;**
95;**;**;**;**;**;**;**;**;0.143731807213;**;0.0396290825586;**;**;**;0.167041428389;**;**;**;**;**;0.167106302723;**;**;**;0.254921905516;**;**;**
90;**;**;**;**;**;**;**;**;0.135657966057;**;0.0622865949341;**;**;**;0.148782625464;**;**;**;**;**;0.161574354291;**;**;**;0.00521432922693;**;**;**
75;**;**;**;**;**;**;**;**;0.119937418446;**;0.146691415214;**;**;**;0.114315850225;**;**;**;**;**;0.151064078231;**;**;**;0.0;**;**;**
67;**;**;**;**;**;**;**;**;0.113725841843;**;0.171192178556;**;**;**;0.0974535079783;**;**;**;**;**;0.111152415931;**;**;**;0.0;**;**;**
50;**;**;**;**;**;**;**;**;0.100418992847;**;0.250355127751;**;**;**;0.0580899000546;**;**;**;**;**;0.0548927093306;**;**;**;0.0;**;**;**
30;**;**;**;**;**;**;**;**;0.0887232920509;**;0.308721574495;**;**;**;0.0204868964687;**;**;**;**;**;0.0406351217624;**;**;**;0.0;**;**;**
