;AT;BE;BG;CH;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;NL;NO;PL;PT;RO;SE;SI;SK;UK
100;**;**;**;**;**;**;**;**;0.146095586224;**;0.022850834355;**;**;**;0.215983673334;**;**;**;**;**;0.163615673777;**;**;**;0.446654102863;**;**;**
97;**;**;**;**;**;**;**;**;0.149738369297;**;0.00791326899007;**;**;**;0.177999483671;**;**;**;**;**;0.159451804917;**;**;**;0.296431566433;**;**;**
95;**;**;**;**;**;**;**;**;0.145374879574;**;0.0253658940613;**;**;**;0.172657266448;**;**;**;**;**;0.162959720754;**;**;**;0.250619547177;**;**;**
90;**;**;**;**;**;**;**;**;0.135253955193;**;0.081083307535;**;**;**;0.145614296965;**;**;**;**;**;0.152336239573;**;**;**;0.00629478352613;**;**;**
75;**;**;**;**;**;**;**;**;0.11691156671;**;0.124774583349;**;**;**;0.10887170622;**;**;**;**;**;0.136298109999;**;**;**;0.0;**;**;**
67;**;**;**;**;**;**;**;**;0.122496032416;**;0.141550987162;**;**;**;0.098801789266;**;**;**;**;**;0.128660451536;**;**;**;0.0;**;**;**
50;**;**;**;**;**;**;**;**;0.08992797066;**;0.242599272778;**;**;**;0.0561061182556;**;**;**;**;**;0.0731254541643;**;**;**;0.0;**;**;**
30;**;**;**;**;**;**;**;**;0.0942016399267;**;0.353861851769;**;**;**;0.0239656658392;**;**;**;**;**;0.0235525452796;**;**;**;0.0;**;**;**
